fullName,name,gene_id,summary,Protein_Domains
cyclin E1,CCNE1,11,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK2, whose activity is required for cell cycle G1/S transition. This protein accumulates at the G1-S phase boundary and is degraded as cells progress through S phase. Overexpression of this gene has been observed in many tumors, which results in chromosome instability, and thus may contribute to tumorigenesis. This protein was found to associate with, and be involved in, the phosphorylation of NPAT protein (nuclear protein mapped to the ATM locus), which participates in cell-cycle regulated histone gene expression and plays a critical role in promoting cell-cycle progression in the absence of pRB. [provided by RefSeq, Apr 2016].","['Cyclin, C-terminal domain', 'Cyclin, N-terminal', 'Cyclin-like domain', 'Cyclin-like superfamily', 'Cyclin', 'Cyclins, cyclin-box']"
cyclin dependent kinase 6,CDK6,12,"The protein encoded by this gene is a member of the CMGC family of serine/threonine protein kinases. This kinase is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression and G1/S transition. The activity of this kinase first appears in mid-G1 phase, which is controlled by the regulatory subunits including D-type cyclins and members of INK4 family of CDK inhibitors. This kinase, as well as CDK4, has been shown to phosphorylate, and thus regulate the activity of, tumor suppressor protein Rb. Altered expression of this gene has been observed in multiple human cancers. A mutation in this gene resulting in reduced cell proliferation, and impaired cell motility and polarity, and has been identified in patients with primary microcephaly. [provided by RefSeq, Aug 2017].","['Protein kinase domain', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Cyclin-dependent kinase 6', 'Cyclin-dependent kinase']"
cyclin dependent kinase 4,CDK4,13,"The protein encoded by this gene is a member of the Ser/Thr protein kinase family. This protein is highly similar to the gene products of S. cerevisiae cdc28 and S. pombe cdc2. It is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression. The activity of this kinase is restricted to the G1-S phase, which is controlled by the regulatory subunits D-type cyclins and CDK inhibitor p16(INK4a). This kinase was shown to be responsible for the phosphorylation of retinoblastoma gene product (Rb). Mutations in this gene as well as in its related proteins including D-type cyclins, p16(INK4a) and Rb were all found to be associated with tumorigenesis of a variety of cancers. Multiple polyadenylation sites of this gene have been reported. [provided by RefSeq, Jul 2008].","['Protein kinase domain', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Cyclin-dependent kinase', 'Serine/threonine-protein kinase, active site']"
cyclin dependent kinase inhibitor 2A,CDKN2A,14,"This gene generates several transcript variants which differ in their first exons. At least three alternatively spliced variants encoding distinct proteins have been reported, two of which encode structurally related isoforms known to function as inhibitors of CDK4 kinase. The remaining transcript includes an alternate first exon located 20 Kb upstream of the remainder of the gene; this transcript contains an alternate open reading frame (ARF) that specifies a protein which is structurally unrelated to the products of the other variants. This ARF product functions as a stabilizer of the tumor suppressor protein p53 as it can interact with, and sequester, the E3 ubiquitin-protein ligase MDM2, a protein responsible for the degradation of p53. In spite of the structural and functional differences, the CDK inhibitor isoforms and the ARF product encoded by this gene, through the regulatory roles of CDK4 and p53 in cell cycle G1 progression, share a common functionality in cell cycle G1 control. This gene is frequently mutated or deleted in a wide variety of tumors, and is known to be an important tumor suppressor gene. [provided by RefSeq, Sep 2012].","['Ankyrin repeat-containing domain superfamily', 'Ankyrin Repeat and Cyclin-Dependent Kinase Inhibitor', 'Tumor suppressor ARF']"
CCAAT enhancer binding protein alpha,CEBPA,15,"This intronless gene encodes a transcription factor that contains a basic leucine zipper (bZIP) domain and recognizes the CCAAT motif in the promoters of target genes. The encoded protein functions in homodimers and also heterodimers with CCAAT/enhancer-binding proteins beta and gamma. Activity of this protein can modulate the expression of genes involved in cell cycle regulation as well as in body weight homeostasis. Mutation of this gene is associated with acute myeloid leukemia. The use of alternative in-frame non-AUG (GUG) and AUG start codons results in protein isoforms with different lengths. Differential translation initiation is mediated by an out-of-frame, upstream open reading frame which is located between the GUG and the first AUG start codons. [provided by RefSeq, Dec 2013].","['Basic-leucine zipper domain', 'CCAAT/enhancer-binding protein, chordates', 'CCAAT/enhancer-binding protein C/EBP', 'Basic-leucine zipper domain superfamily']"
DNA methyltransferase 3 alpha,DNMT3A,18,"CpG methylation is an epigenetic modification that is important for embryonic development, imprinting, and X-chromosome inactivation. Studies in mice have demonstrated that DNA methylation is required for mammalian development. This gene encodes a DNA methyltransferase that is thought to function in de novo methylation, rather than maintenance methylation. The protein localizes to the cytoplasm and nucleus and its expression is developmentally regulated. [provided by RefSeq, Mar 2016].","['PWWP domain', 'C-5 cytosine methyltransferase', 'DNA methylase, C-5 cytosine-specific, active site', 'ADD domain', 'S-adenosyl-L-methionine-dependent methyltransferase superfamily', 'DNMT3, cysteine rich ADD domain, GATA1-like zinc finger', 'DNA (cytosine-5)-methyltransferase 3A, ADD domain', 'DNMT3, ADD domain, PHD zinc finger']"
epidermal growth factor receptor,EGFR,19,"The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020].","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Furin-like repeat', 'Tyrosine-protein kinase, active site', 'Growth factor receptor cysteine-rich domain superfamily', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Growth factor receptor domain 4', 'Epidermal growth factor receptor-like, transmembrane-juxtamembrane segment', 'Receptor Tyrosine Kinase', 'Receptor L-domain', 'Furin-like cysteine-rich domain', 'Tyrosine protein kinase, EGF/ERB/XmrK receptor', 'Receptor L-domain superfamily']"
erb-b2 receptor tyrosine kinase 2,ERBB2,20,"This gene encodes a member of the epidermal growth factor (EGF) receptor family of receptor tyrosine kinases. This protein has no ligand binding domain of its own and therefore cannot bind growth factors. However, it does bind tightly to other ligand-bound EGF receptor family members to form a heterodimer, stabilizing ligand binding and enhancing kinase-mediated activation of downstream signalling pathways, such as those involving mitogen-activated protein kinase and phosphatidylinositol-3 kinase. Allelic variations at amino acid positions 654 and 655 of isoform a (positions 624 and 625 of isoform b) have been reported, with the most common allele, Ile654/Ile655, shown here. Amplification and/or overexpression of this gene has been reported in numerous cancers, including breast and ovarian tumors. Alternative splicing results in several additional transcript variants, some encoding different isoforms and others that have not been fully characterized. [provided by RefSeq, Jul 2008].","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Epidermal growth factor receptor-like, transmembrane-juxtamembrane segment', 'Receptor Tyrosine Kinase', 'Furin-like cysteine-rich domain', 'Furin-like repeat', 'Growth factor receptor cysteine-rich domain superfamily', 'Growth factor receptor domain 4', 'Receptor L-domain superfamily', 'Receptor L-domain', 'Tyrosine protein kinase, EGF/ERB/XmrK receptor']"
estrogen receptor 1,ESR1,21,"This gene encodes an estrogen receptor and ligand-activated transcription factor. The canonical protein contains an N-terminal ligand-independent transactivation domain, a central DNA binding domain, a hinge domain, and a C-terminal ligand-dependent transactivation domain. The protein localizes to the nucleus where it may form either a homodimer or a heterodimer with estrogen receptor 2. The protein encoded by this gene regulates the transcription of many estrogen-inducible genes that play a role in growth, metabolism, sexual development, gestation, and other reproductive functions and is expressed in many non-reproductive tissues. The receptor encoded by this gene plays a key role in breast cancer, endometrial cancer, and osteoporosis. This gene is reported to have dozens of transcript variants due to the use of alternate promoters and alternative splicing, however, the full-length nature of many of these variants remain uncertain. [provided by RefSeq, Jul 2020].","['Estrogen receptor', 'Estrogen receptor, N-terminal', 'Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type', 'Nuclear hormone receptor', 'Zinc finger, NHR/GATA-type', 'Estrogen receptor/oestrogen-related receptor', 'Oestrogen-type nuclear receptor final C-terminal domain', 'Nuclear hormone receptor-like domain superfamily', 'Nuclear hormone receptor family NR3 subfamily']"
fibroblast growth factor receptor 2,FGFR2,22,"The protein encoded by this gene is a member of the fibroblast growth factor receptor family, where amino acid sequence is highly conserved between members and throughout evolution. FGFR family members differ from one another in their ligand affinities and tissue distribution. A full-length representative protein consists of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment and a cytoplasmic tyrosine kinase domain. The extracellular portion of the protein interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. This particular family member is a high-affinity receptor for acidic, basic and/or keratinocyte growth factor, depending on the isoform. Mutations in this gene are associated with Crouzon syndrome, Pfeiffer syndrome, Craniosynostosis, Apert syndrome, Jackson-Weiss syndrome, Beare-Stevenson cutis gyrata syndrome, Saethre-Chotzen syndrome, and syndromic craniosynostosis. Multiple alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jan 2009].","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Immunoglobulin I-set', 'Fibroblast growth factor receptor-like', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Fibroblast growth factor receptor family', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Receptor Tyrosine Kinase']"
fibroblast growth factor receptor 3,FGFR3,23,"This gene encodes a member of the fibroblast growth factor receptor (FGFR) family, with its amino acid sequence being highly conserved between members and among divergent species. FGFR family members differ from one another in their ligand affinities and tissue distribution. A full-length representative protein would consist of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment and a cytoplasmic tyrosine kinase domain. The extracellular portion of the protein interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. This particular family member binds acidic and basic fibroblast growth hormone and plays a role in bone development and maintenance. Mutations in this gene lead to craniosynostosis and multiple types of skeletal dysplasia. [provided by RefSeq, Aug 2017].","['Immunoglobulin subtype 2', 'Immunoglobulin-like domain', 'Immunoglobulin I-set', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Fibroblast growth factor receptor-like', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Immunoglobulin subtype', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Fibroblast growth factor receptor family', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Receptor Tyrosine Kinase']"
fms related receptor tyrosine kinase 3,FLT3,24,"This gene encodes a class III receptor tyrosine kinase that regulates hematopoiesis. This receptor is activated by binding of the fms-related tyrosine kinase 3 ligand to the extracellular domain, which induces homodimer formation in the plasma membrane leading to autophosphorylation of the receptor. The activated receptor kinase subsequently phosphorylates and activates multiple cytoplasmic effector molecules in pathways involved in apoptosis, proliferation, and differentiation of hematopoietic cells in bone marrow. Mutations that result in the constitutive activation of this receptor result in acute myeloid leukemia and acute lymphoblastic leukemia. [provided by RefSeq, Jan 2015].","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, receptor class III, conserved site', 'Immunoglobulin-like domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Immunoglobulin-like beta-sandwich domain', 'Immunoglobulin-like fold', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Immunoglobulin-like domain superfamily', 'Receptor Tyrosine Kinase']"
GATA binding protein 2,GATA2,25,"This gene encodes a member of the GATA family of zinc-finger transcription factors that are named for the consensus nucleotide sequence they bind in the promoter regions of target genes. The encoded protein plays an essential role in regulating transcription of genes involved in the development and proliferation of hematopoietic and endocrine cell lineages. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Mar 2009].","['Transcription factor GATA', 'Zinc finger, GATA-type', 'Zinc finger, NHR/GATA-type', 'Transcription factor, GATA-2/3']"
isocitrate dehydrogenase (NADP(+)) 1,IDH1,26,"Isocitrate dehydrogenases catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate. These enzymes belong to two distinct subclasses, one of which utilizes NAD(+) as the electron acceptor and the other NADP(+). Five isocitrate dehydrogenases have been reported: three NAD(+)-dependent isocitrate dehydrogenases, which localize to the mitochondrial matrix, and two NADP(+)-dependent isocitrate dehydrogenases, one of which is mitochondrial and the other predominantly cytosolic. Each NADP(+)-dependent isozyme is a homodimer. The protein encoded by this gene is the NADP(+)-dependent isocitrate dehydrogenase found in the cytoplasm and peroxisomes. It contains the PTS-1 peroxisomal targeting signal sequence. The presence of this enzyme in peroxisomes suggests roles in the regeneration of NADPH for intraperoxisomal reductions, such as the conversion of 2, 4-dienoyl-CoAs to 3-enoyl-CoAs, as well as in peroxisomal reactions that consume 2-oxoglutarate, namely the alpha-hydroxylation of phytanic acid. The cytoplasmic enzyme serves a significant role in cytoplasmic NADPH production. Alternatively spliced transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Sep 2013].","['Isocitrate dehydrogenase NADP-dependent', 'Isopropylmalate dehydrogenase-like domain', 'Isocitrate/isopropylmalate dehydrogenase, conserved site']"
isocitrate dehydrogenase (NADP(+)) 2,IDH2,27,"Isocitrate dehydrogenases catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate. These enzymes belong to two distinct subclasses, one of which utilizes NAD(+) as the electron acceptor and the other NADP(+). Five isocitrate dehydrogenases have been reported: three NAD(+)-dependent isocitrate dehydrogenases, which localize to the mitochondrial matrix, and two NADP(+)-dependent isocitrate dehydrogenases, one of which is mitochondrial and the other predominantly cytosolic. Each NADP(+)-dependent isozyme is a homodimer. The protein encoded by this gene is the NADP(+)-dependent isocitrate dehydrogenase found in the mitochondria. It plays a role in intermediary metabolism and energy production. This protein may tightly associate or interact with the pyruvate dehydrogenase complex. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2014].","['Isocitrate dehydrogenase NADP-dependent', 'Isocitrate/isopropylmalate dehydrogenase, conserved site', 'Isopropylmalate dehydrogenase-like domain']"
Janus kinase 2,JAK2,28,"This gene encodes a non-receptor tyrosine kinase that plays a central role in cytokine and growth factor signalling. The primary isoform of this protein has an N-terminal FERM domain that is required for erythropoietin receptor association, an SH2 domain that binds STAT transcription factors, a pseudokinase domain and a C-terminal tyrosine kinase domain. Cytokine binding induces autophosphorylation and activation of this kinase. This kinase then recruits and phosphorylates signal transducer and activator of transcription (STAT) proteins. Growth factors like TGF-beta 1 also induce phosphorylation and activation of this kinase and translocation of downstream STAT proteins to the nucleus where they influence gene transcription. Mutations in this gene are associated with numerous inflammatory diseases and malignancies. This gene is a downstream target of the pleiotropic cytokine IL6 that is produced by B cells, T cells, dendritic cells and macrophages to produce an immune response or inflammation. Disregulation of the IL6/JAK2/STAT3 signalling pathways produces increased cellular proliferation and myeloproliferative neoplasms of hematopoietic stem cells. A nonsynonymous mutation in the pseudokinase domain of this gene disrupts the domains inhibitory effect and results in constitutive tyrosine phosphorylation activity and hypersensitivity to cytokine signalling. This gene and the IL6/JAK2/STAT3 signalling pathway is a therapeutic target for the treatment of excessive inflammatory responses to viral infections. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2020].","['FERM domain', 'Protein kinase domain', 'SH2 domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'PH-like domain superfamily', 'Tyrosine-protein kinase, non-receptor Jak/Tyk2', 'Protein kinase, ATP binding site', 'FERM central domain', 'Band 4.1 domain', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, non-receptor Jak2', 'Janus kinase 2, pseudokinase domain', 'Janus kinase 2, catalytic domain', 'Tyrosine-protein kinase JAK2, SH2 domain', 'FERM superfamily, second domain', 'SH2 domain superfamily', 'JAK2, FERM domain C-lobe', 'JAK, FERM F2 lobe domain', 'FERM F1 lobe ubiquitin-like domain', 'JAK1-3/TYK2, pleckstrin homology-like domain', 'Janus Kinase (JAK)']"
